Godot Engine v4.6.stable.official.89cea1439 - https://godotengine.org
Vulkan 1.4.312 - Forward+ - Using Device #0: NVIDIA - NVIDIA GeForce RTX 3080

[square] circ=71.9 avg_h=0.281 ref=1.000 | e0=0.341, e1=0.248, e2=0.292, e3=0.242 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.79404, -0.5297)
[square] circ=71.9 avg_h=0.281 ref=1.000 | e0=0.340, e1=0.248, e2=0.293, e3=0.242 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.791545, -0.530648)
[square] circ=71.9 avg_h=0.281 ref=1.000 | e0=0.339, e1=0.249, e2=0.294, e3=0.242 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.789032, -0.531595)
[square] circ=71.9 avg_h=0.281 ref=1.000 | e0=0.337, e1=0.249, e2=0.295, e3=0.242 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.786504, -0.532539)
[square] circ=72.0 avg_h=0.280 ref=1.000 | e0=0.336, e1=0.250, e2=0.295, e3=0.241 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.764928, -0.553363)
[square] circ=72.1 avg_h=0.279 ref=1.000 | e0=0.342, e1=0.247, e2=0.291, e3=0.237 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.747169, -0.579929)
[square] circ=71.7 avg_h=0.283 ref=1.000 | e0=0.346, e1=0.245, e2=0.287, e3=0.255 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.72376, -0.607681)
[square] circ=71.3 avg_h=0.287 ref=1.000 | e0=0.353, e1=0.242, e2=0.281, e3=0.271 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.716308, -0.624448)
[square] circ=71.2 avg_h=0.288 ref=1.000 | e0=0.356, e1=0.241, e2=0.279, e3=0.276 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.713816, -0.62994)
[square] circ=71.0 avg_h=0.290 ref=1.000 | e0=0.360, e1=0.239, e2=0.276, e3=0.285 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.710069, -0.638085)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.360, e1=0.238, e2=0.274, e3=0.290 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.707567, -0.643455)
[square] circ=71.0 avg_h=0.290 ref=1.000 | e0=0.358, e1=0.238, e2=0.274, e3=0.293 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.706314, -0.646122)
[square] circ=71.0 avg_h=0.290 ref=1.000 | e0=0.356, e1=0.237, e2=0.273, e3=0.295 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.705061, -0.648776)
[square] circ=71.0 avg_h=0.290 ref=1.000 | e0=0.353, e1=0.237, e2=0.271, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.702555, -0.65405)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.351, e1=0.238, e2=0.270, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.7013, -0.656669)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.350, e1=0.238, e2=0.269, e3=0.306 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.700045, -0.659276)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.347, e1=0.239, e2=0.267, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.697533, -0.664454)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.342, e1=0.242, e2=0.261, e3=0.323 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.693944, -0.676219)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.340, e1=0.242, e2=0.260, e3=0.325 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.692686, -0.678732)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.339, e1=0.243, e2=0.259, e3=0.328 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.691427, -0.681233)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.336, e1=0.243, e2=0.260, e3=0.329 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.688733, -0.682208)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.338, e1=0.242, e2=0.261, e3=0.327 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.689991, -0.679707)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.339, e1=0.242, e2=0.262, e3=0.324 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.691248, -0.677193)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.342, e1=0.241, e2=0.264, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.693763, -0.672133)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.344, e1=0.240, e2=0.265, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.69502, -0.669585)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.345, e1=0.240, e2=0.266, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.696277, -0.667025)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.345, e1=0.240, e2=0.266, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.696277, -0.667025)
[square] circ=70.9 avg_h=0.291 ref=1.000 | e0=0.345, e1=0.240, e2=0.266, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.696557, -0.667388)
[square] circ=70.8 avg_h=0.292 ref=1.000 | e0=0.346, e1=0.239, e2=0.267, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.697466, -0.668608)
[square] circ=71.0 avg_h=0.290 ref=1.000 | e0=0.339, e1=0.239, e2=0.267, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.697927, -0.669256)
[square] circ=71.3 avg_h=0.287 ref=1.000 | e0=0.325, e1=0.239, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698529, -0.670136)
[square] circ=71.5 avg_h=0.285 ref=1.000 | e0=0.318, e1=0.238, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698786, -0.670523)
[square] circ=71.8 avg_h=0.282 ref=1.000 | e0=0.303, e1=0.238, e2=0.268, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.69899, -0.671145)
[square] circ=72.1 avg_h=0.279 ref=1.000 | e0=0.293, e1=0.238, e2=0.268, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.69914, -0.671487)
[square] circ=72.1 avg_h=0.279 ref=1.000 | e0=0.290, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.69925, -0.67163)
[square] circ=72.3 avg_h=0.277 ref=1.000 | e0=0.283, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699307, -0.671808)
[square] circ=72.5 avg_h=0.275 ref=1.000 | e0=0.276, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699353, -0.671944)
[square] circ=72.6 avg_h=0.274 ref=1.000 | e0=0.272, e1=0.238, e2=0.269, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699412, -0.671988)
[square] circ=72.8 avg_h=0.272 ref=1.000 | e0=0.264, e1=0.238, e2=0.269, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699435, -0.672027)
[square] circ=72.9 avg_h=0.271 ref=1.000 | e0=0.259, e1=0.238, e2=0.269, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699419, -0.67204)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.250, e1=0.238, e2=0.269, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699374, -0.672061)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.244, e1=0.238, e2=0.269, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699342, -0.671971)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.238, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699289, -0.671827)
[square] circ=73.7 avg_h=0.263 ref=1.000 | e0=0.229, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699223, -0.671739)
[square] circ=73.9 avg_h=0.261 ref=1.000 | e0=0.220, e1=0.238, e2=0.269, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699152, -0.671622)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.215, e1=0.238, e2=0.268, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699096, -0.671485)
[square] circ=74.3 avg_h=0.257 ref=1.000 | e0=0.205, e1=0.238, e2=0.268, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698907, -0.670978)
[square] circ=74.3 avg_h=0.257 ref=1.000 | e0=0.202, e1=0.238, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698824, -0.670769)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.238, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698694, -0.670488)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698595, -0.670233)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698489, -0.669959)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698468, -0.669925)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698447, -0.66989)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698427, -0.669855)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.202, e1=0.239, e2=0.268, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.698427, -0.669855)
[square] circ=74.6 avg_h=0.254 ref=1.000 | e0=0.193, e1=0.236, e2=0.271, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699064, -0.675566)
[square] circ=74.5 avg_h=0.255 ref=1.000 | e0=0.196, e1=0.239, e2=0.276, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.699981, -0.685144)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.199, e1=0.241, e2=0.279, e3=0.306 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.700634, -0.690962)
[square] circ=74.2 avg_h=0.258 ref=1.000 | e0=0.206, e1=0.243, e2=0.282, e3=0.302 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701229, -0.69585)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.211, e1=0.243, e2=0.282, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701371, -0.696964)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.211, e1=0.243, e2=0.283, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701437, -0.697459)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.211, e1=0.243, e2=0.282, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701371, -0.696964)
